epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.614,4.82877,12.1242,4.51288,0,0,0,0,5.69492,10.0226,4.17005,0.00032867,0.00032867,0.00032867
2,662.888,3.75524,9.02117,3.97983,0,0,0,0,5.72276,9.32449,4.21594,0.000605139,0.000605139,0.000605139
3,990.582,3.05853,7.19772,3.16612,0,0,0,0,5.78219,9.15808,4.31386,0.000813701,0.000813701,0.000813701
4,1359.71,2.49622,5.89603,2.70102,0,0,0,0,5.75398,8.43255,4.2818,0.000954358,0.000954358,0.000954358
5,1733.46,2.41443,5.29133,2.38774,0.00135,0.25695,0.03857,0.01204,3.67283,6.58624,3.07095,0.000863116,0.000863116,0.000863116
6,2043.55,2.25894,4.92917,2.24263,0.34116,0.26212,0.23712,0.09689,2.62016,4.89974,2.39129,0.000721645,0.000721645,0.000721645
7,2351.68,2.0891,4.14665,2.02222,0.52361,0.27902,0.35411,0.16326,2.18385,4.26472,2.12774,0.000580174,0.000580174,0.000580174
8,2658.11,1.97362,3.84415,1.96294,0.41018,0.44953,0.41235,0.20147,1.88611,3.39355,1.81017,0.000438703,0.000438703,0.000438703
9,2964.01,1.91242,3.60673,1.85,0.39011,0.5731,0.4603,0.24422,1.71222,2.92301,1.69306,0.000297232,0.000297232,0.000297232
10,3310.11,1.90596,3.45531,1.89842,0.45646,0.55176,0.52174,0.27979,1.6748,2.76093,1.68731,0.000155761,0.000155761,0.000155761
